[2026-04-14 16:09:12 TP0] Prefill batch, #new-seq: 1, #new-token: 80, #cached-token: 0, full token usage: 0.00, mamba usage: 0.01, #running-req: 0, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 1.85
[2026-04-14 16:27:22 TP0] Prefill batch, #new-seq: 1, #new-token: 17, #cached-token: 0, full token usage: 0.00, mamba usage: 0.01, #running-req: 0, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 0.02
[2026-04-14 16:27:22 TP0] Decode batch, #running-req: 1, #full token: 50, full token usage: 0.00, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 0.04, #queue-req: 0
[2026-04-14 16:27:23 TP0] Decode batch, #running-req: 1, #full token: 90, full token usage: 0.00, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 77.37, #queue-req: 0
[2026-04-14 16:27:23 TP0] Decode batch, #running-req: 1, #full token: 130, full token usage: 0.00, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 77.56, #queue-req: 0
[2026-04-14 16:27:24 TP0] Decode batch, #running-req: 1, #full token: 170, full token usage: 0.00, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 77.52, #queue-req: 0
[2026-04-14 16:27:24 TP0] Decode batch, #running-req: 1, #full token: 210, full token usage: 0.00, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 76.00, #queue-req: 0
[2026-04-14 16:27:25 TP0] Decode batch, #running-req: 1, #full token: 250, full token usage: 0.00, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 78.16, #queue-req: 0
[2026-04-14 16:27:25 TP0] Decode batch, #running-req: 1, #full token: 290, full token usage: 0.00, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 77.14, #queue-req: 0
[2026-04-14 16:27:26 TP0] Decode batch, #running-req: 1, #full token: 330, full token usage: 0.00, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 75.90, #queue-req: 0
[2026-04-14 16:27:26 TP0] Decode batch, #running-req: 1, #full token: 370, full token usage: 0.00, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 75.54, #queue-req: 0
[2026-04-14 16:27:27 TP0] Decode batch, #running-req: 1, #full token: 410, full token usage: 0.00, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 76.00, #queue-req: 0
[2026-04-14 16:27:27 TP0] Decode batch, #running-req: 1, #full token: 450, full token usage: 0.00, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 77.77, #queue-req: 0
[2026-04-14 16:27:28 TP0] Decode batch, #running-req: 1, #full token: 490, full token usage: 0.00, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 78.26, #queue-req: 0
[2026-04-14 16:27:28 TP0] Decode batch, #running-req: 1, #full token: 530, full token usage: 0.00, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 78.06, #queue-req: 0
[2026-04-14 16:27:29 TP0] Decode batch, #running-req: 1, #full token: 570, full token usage: 0.00, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 76.67, #queue-req: 0
[2026-04-14 16:27:30 TP0] Decode batch, #running-req: 1, #full token: 610, full token usage: 0.00, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 78.01, #queue-req: 0
[2026-04-14 16:27:30 TP0] Decode batch, #running-req: 1, #full token: 650, full token usage: 0.00, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 78.12, #queue-req: 0
[2026-04-14 16:27:31 TP0] Decode batch, #running-req: 1, #full token: 690, full token usage: 0.00, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 78.08, #queue-req: 0
[2026-04-14 16:27:31 TP0] Decode batch, #running-req: 1, #full token: 730, full token usage: 0.00, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 77.96, #queue-req: 0
[2026-04-14 16:27:32 TP0] Decode batch, #running-req: 1, #full token: 770, full token usage: 0.00, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 78.18, #queue-req: 0
[2026-04-14 16:27:32 TP0] Decode batch, #running-req: 1, #full token: 810, full token usage: 0.00, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 76.21, #queue-req: 0
[2026-04-14 16:27:33 TP0] Decode batch, #running-req: 1, #full token: 850, full token usage: 0.00, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 75.03, #queue-req: 0
[2026-04-14 16:27:33 TP0] Decode batch, #running-req: 1, #full token: 890, full token usage: 0.00, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 76.57, #queue-req: 0
[2026-04-14 16:27:34 TP0] Decode batch, #running-req: 1, #full token: 930, full token usage: 0.00, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 76.87, #queue-req: 0
[2026-04-14 16:27:34 TP0] Decode batch, #running-req: 1, #full token: 970, full token usage: 0.00, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 76.76, #queue-req: 0
[2026-04-14 16:27:35 TP0] Decode batch, #running-req: 1, #full token: 1010, full token usage: 0.00, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 77.42, #queue-req: 0
[2026-04-14 16:27:35 TP0] Decode batch, #running-req: 1, #full token: 1050, full token usage: 0.00, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 76.50, #queue-req: 0
[2026-04-14 16:27:36 TP0] Decode batch, #running-req: 1, #full token: 1090, full token usage: 0.00, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 76.96, #queue-req: 0
[2026-04-14 16:27:36 TP0] Decode batch, #running-req: 1, #full token: 1130, full token usage: 0.00, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 78.48, #queue-req: 0
[2026-04-14 16:27:37 TP0] Decode batch, #running-req: 1, #full token: 1170, full token usage: 0.00, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 77.87, #queue-req: 0
[2026-04-14 16:27:37 TP0] Decode batch, #running-req: 1, #full token: 1210, full token usage: 0.00, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 77.63, #queue-req: 0
[2026-04-14 16:27:38 TP0] Decode batch, #running-req: 1, #full token: 1250, full token usage: 0.00, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 78.01, #queue-req: 0
[2026-04-14 16:27:38 TP0] Decode batch, #running-req: 1, #full token: 1290, full token usage: 0.00, mamba num: 2, mamba usage: 0.01, cuda graph: True, gen throughput (token/s): 77.01, #queue-req: 0
